Phrase	Dux Translation
STORAGE	/orage
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE ROOM	/orage room
CLASSROOM	classroom
CLASSROOM	classroom
A HOUSE GUIDANCE	a h\se guid.e
A HOUSE GUIDANCE	a h\se guid.e
A HOUSE OFFICE	a h\se (fice
CONFERENCE ROOM	3f];e room
A HOUSE PRINCIPAL	a h\se pr9cipal
OFFICE	(fice
A HOUSE WORKROOM	a h\se "wroom
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
STORAGE	/orage
MECHANICAL	me*anical
CUSTODIAL CLOSET	cu/odial closet
STORAGE	/orage
ELEVATOR MACHINE	elevator ma*9e
CUSTODIAL CLOSET	cu/odial closet
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
B HOUSE OFFICE	;b h\se (fice
B HOUSE WORKROOM	;b h\se "wroom
CONFERENCE ROOM	3f];e room
B HOUSE PRINCIPAL	;b h\se pr9cipal
B HOUSE GUIDANCE	;b h\se guid.e
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
C HOUSE GUIDANCE	;c h\se guid.e
C HOUSE GUIDANCE	;c h\se guid.e
C HOUSE OFFICE	;c h\se (fice
CONFERENCE ROOM	3f];e room
C HOUSE PRINCIPAL	;c h\se pr9cipal
OFFICE	(fice
STORAGE	/orage
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
STORAGE	/orage
MECHANICAL	me*anical
CUSTODIAL CLOSET	cu/odial closet
MECHANICAL	me*anical
STORAGE	/orage
DATA ROOM	data room
CUSTODIAL CLOSET	cu/odial closet
MEDIA CENTER	m$ia c5t]
WORKROOM	"wroom
WORKROOM	"wroom
WORKROOM	"wroom
WORKROOM	"wroom
AV STORAGE	av /orage
PODCAST ROOM	podca/ room
CAREER CENTER	c>e] c5t]
CAREER CENTER	c>e] c5t]
ELECTRICAL	electrical
SECURITY OFFICE	secur;y (fice
SCHOOL STORE	s*ool /ore
SCHOOL STORE	s*ool /ore
OFFICE STORAGE	(fice /orage
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE	/orage
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE	/orage
CUSTODIAL CLOSET	cu/odial closet
CLASSROOM	classroom
PREP ROOM	prep room
PREP ROOM	prep room
PREP ROOM	prep room
CHEMISTRY LAB	*emi/ry lab
CHEMISTRY LAB	*emi/ry lab
PREP ROOM	prep room
PREP ROOM	prep room
PREP ROOM	prep room
PHYSICS LAB	physics lab
PHYSICS LAB	physics lab
PREP ROOM	prep room
GENERAL SCIENCE	g5]al sci;e
PREP ROOM	prep room
CHEMISTRY LAB	*emi/ry lab
CHEMISTRY LAB	*emi/ry lab
PREP ROOM	prep room
PREP ROOM	prep room
PREP ROOM	prep room
CHEMISTRY LAB	*emi/ry lab
GENERAL SCIENCE	g5]al sci;e
MATH LAB	ma? lab
MATH LAB	ma? lab
GENERAL SCIENCE	g5]al sci;e
PREP ROOM	prep room
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE/ DATA	/orage_/ data
CUSTODIAL CLOSET	cu/odial closet
STORAGE	/orage
MECHANICAL	me*anical
CUSTODIAL CLOSET	cu/odial closet
STORAGE	/orage
MAIN DATA ROOM	ma9 data room
STORAGE	/orage
BIOLOGY LAB	biology lab
PREP ROOM	prep room
BIOLOGY LAB	biology lab
PREP ROOM	prep room
DATA ROOM	data room
BIOLOGY LAB	biology lab
PREP ROOM	prep room
PREP ROOM	prep room
PREP ROOM	prep room
BIOLOGY LAB	biology lab
BIOLOGY LAB	biology lab
PREP ROOM	prep room
STORAGE	/orage
BIOLOGY LAB	biology lab
PREP ROOM	prep room
GENERAL SCIENCE	g5]al sci;e
GENERAL SCIENCE	g5]al sci;e
PREP ROOM	prep room
PREP ROOM	prep room
DATA ROOM	data room
STORAGE	/orage
GENERAL SCIENCE	g5]al sci;e
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE	/orage
CLASSROOM	classroom
CLASSROOM	classroom
BUSINESS DEPARTMENT	busi;s de"p;t
OFFICE	(fice
WORKROOM	"wroom
CLASSROOM	classroom
BUSINESS LAB	busi;s lab
BUSINESS LAB	busi;s lab
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE	/orage
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE	/orage
CLASSROOM	classroom
CLASSROOM	classroom
PREP ROOM	prep room
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
CLASSROOM	classroom
STORAGE/ DATA	/orage_/ data
CUSTODIAL CLOSET	cu/odial closet
STORAGE	/orage
STORAGE/ DATA	/orage_/ data
CUSTODIAL CLOSET	cu/odial closet
STORAGE	/orage
MATH OFFICE	ma? (fice
MATH WORKROOM	ma? "wroom
STORAGE	/orage
SCIENCE WORKROOM	sci;e "wroom
SCIENCE OFFICE	sci;e (fice
STORAGE	/orage
STORAGE	/orage
OFFICE	(fice
OFFICE	(fice
MUSEUM	museum
WORLD LANGUAGE	_w language
PPT	ppt
SPECIAL EDUCATION	special $uca;n
SPECIAL EDUCATION	special $uca;n
BOOK STORAGE	book /orage
STORAGE	/orage
ENGLISH OFFICE	5gli% (fice
WORKROOM	"wroom
WORLD LANGUAGE	_w language
STORAGE	/orage
SOCIAL STUDIES	social /udies
SOCIAL STUDIES	social /udies
STORAGE	/orage
STORAGE	/orage
OFFICE	(fice
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/MALE/ISA ICONS	female_/male_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
FEMALE/ISA ICONS	female_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
MALE/ISA ICONS	male_/isa icons
STAIR AREA OF	/air >ea (
STAIR AREA OF	/air >ea (
CHECK-IN AT THE	*eck-9 at !
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
ACCESSIBLE ENTRANCE	a3essible 5tr.e
CUSTODIAL STORAGE	cu/odial /orage
TRAINER'S OFFICE	tra9]'s (fice
CLASSROOM	classroom
CLASSROOM	classroom
ATHLETIC DIRECTOR	a?letic director
C HOUSE WORKROOM	;c h\se "wroom
SPECIAL EDUCATION	special $uca;n
MATHEMATICS DEPARTMENT	ma!matics de"p;t
DEPARTMENT OFFICES	de"p;t (fices
SOCIAL STUDIES	social /udies
SCIENCE DEPARTMENT	sci;e de"p;t
WORLD LANGUAGE	_w language
ENGLISH DEPARTMENT	5gli% de"p;t
C HOUSE	;c h\se
B HOUSE	;b h\se
A HOUSE	a h\se
M WING	;m w+
AUDITORIUM NO FOOD OR	auditorium no food or
FACULTY FEMALE/ISA ICONS	faculty female_/isa icons
FACULTY FEMALE/ISA ICONS	faculty female_/isa icons
FACULTY MALE/ISA ICONS	faculty male_/isa icons
FACULTY MALE/ISA ICONS	faculty male_/isa icons
FACULTY MALE/ISA ICONS	faculty male_/isa icons
SUITE G03	suite g#jc
SUITE G02	suite g#jb
SUITE G01	suite g#ja
SUITE 102	suite #ajb
SUITE 101	suite #aja
FLOOR G	floor ;g
FLOOR G	floor ;g
FLOOR 1	floor #a
FLOOR 1	floor #a
MANAGER	manag]
CONCIERGE SCHEDULER	3ci]ge s*$ul]
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
MANAGER	manag]
MANAGER	manag]
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
SHARED WORKROOM	%>$ "wroom
CAUTION BIOHAZARD	cau;n biohaz>d
CAUTION BIOHAZARD	cau;n biohaz>d
CAUTION BIOHAZARD	cau;n biohaz>d
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
EXIT	exit
MEN	m5
WOMEN	wom5
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
STAFF	/aff
QUIET ROOM	quiet room
MECHANICAL	me*anical
REGISTRATION	regi/ra;n
CHANGING ROOM	*ang+ room
CLOSET	closet
CLOSET	closet
STAFF ROOM	/aff room
IT	it
EXAM 1	exam #a
EXAM 2	exam #b
EXAM 3	exam #c
EXAM 4	exam #d
PACS CUBE ROOM	pacs cube room
STAFF	/aff
CLOSET	closet
X-RAY	;x-ray
CHANGING ROOM	*ang+ room
NUTRITION	nutri;n
ADULT SPEECH	adult spee*
SPEECH THERAPY	spee* !rapy
TREATMENT ROOM	tr1t;t room
WASHER DRYER	wa%] dry]
STORAGE	/orage
STAFF OFFICE	/aff (fice
STAFF BREAK ROOM	/aff br1k room
CLEAN LINEN	cl1n l95
SOILED LINEN	soil$ l95
ELEVATOR EQUIPMENT	elevator equip;t
ULTRASOUND	ultras.d
CHANGING ROOM	*ang+ room
SOILED UTILITY	soil$ util;y
CHANGING ROOM	*ang+ room
MECHANICAL	me*anical
CLOSET	closet
DEXA	dexa
CHANGING ROOM B	*ang+ room ;b
CHANGING ROOM A	*ang+ room a
MAMMOGRAPHY	mammography
CHANGING ROOM B	*ang+ room ;b
CHANGING ROOM A	*ang+ room a
READING ROOM	r1d+ room
MECHANICAL	me*anical
MECHANICAL	me*anical
EXAM 1	exam #a
EXAM 2	exam #b
EXAM 3	exam #c
COAT CLOSET	coat closet
EXAM 4	exam #d
EXAM 5	exam #e
RED BAG	r$ bag
CLEAN	cl1n
STAFF LOUNGE	/aff l\nge
CLOSET	closet
EXAM 6	exam #f
EXAM 7	exam #g
EXAM 8	exam #h
EXAM 9	exam #i
PHLEBOTOMY	phlebotomy
ELEVATOR LOBBY	elevator lo2y
RECEIVING	rcvg
ENVIRONMENTAL SERVICES	5viron;tal s]vices
CLOSET	closet
INTAKE A	9take a
INTAKE B	9take ;b
RED BAG	r$ bag
CLOSET	closet
EXAM 12	exam #ab
EXAM 1	exam #a
EXAM 11	exam #aa
EXAM 2	exam #b
LAB	lab
EXAM 3	exam #c
EXAM 4	exam #d
EXAM 5	exam #e
EXAM 6	exam #f
EXAM 7	exam #g
EXAM 8	exam #h
LAB	lab
EXAM 9	exam #i
EXAM 11	exam #aa
EXAM 12	exam #ab
EXAM 10	exam #aj
I.T.	i4t4
STAFF LOUNGE	/aff l\nge
STORAGE	/orage
FILE ROOM	file room
PHONE ROOM	ph"o room
ELEVATOR LOBBY	elevator lo2y
IN CASE OF FIRE PLEASE USE STAIRS DO NOT USE ELEVATOR!	9 case ( fire pl1se use /airs d n use elevator6
IN CASE OF FIRE PLEASE USE STAIRS DO NOT USE ELEVATOR!	9 case ( fire pl1se use /airs d n use elevator6
IN CASE OF FIRE PLEASE USE STAIRS DO NOT USE ELEVATOR!	9 case ( fire pl1se use /airs d n use elevator6
IN CASE OF FIRE PLEASE USE STAIRS DO NOT USE ELEVATOR!	9 case ( fire pl1se use /airs d n use elevator6
MANAGER	manag]
CONCIERGE SCHEDULER	3ci]ge s*$ul]
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
MANAGER	manag]
MANAGER	manag]
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
OFFICE	(fice
SHARED WORKROOM	%>$ "wroom
CAUTION BIOHAZARD AREA	cau;n biohaz>d >ea
CAUTION BIOHAZARD AREA	cau;n biohaz>d >ea
CAUTION BIOHAZARD AREA	cau;n biohaz>d >ea
IN CASE OF FIRE DO NOT USE ELEVATOR USE STAIRS	9 case ( fire d n use elevator use /airs
IN CASE OF FIRE DO NOT USE ELEVATOR USE STAIRS	9 case ( fire d n use elevator use /airs
IN CASE OF FIRE DO NOT USE ELEVATOR USE STAIRS	9 case ( fire d n use elevator use /airs
STAIRS	/airs
STAIRS	/airs
STAIRS	/airs
STAIRS	/airs
STAIRS	/airs
EMERGENCY EXIT ONLY	em]g5cy exit only
EMERGENCY EXIT ONLY	em]g5cy exit only
EMERGENCY EXIT ONLY	em]g5cy exit only
EMERGENCY EXIT ONLY	em]g5cy exit only
MEN	m5
MEN	m5
MEN	m5
MEN	m5
WOMEN	wom5
WOMEN	wom5
WOMEN	wom5
WOMEN	wom5
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
RESTROOM	re/room
FAMILY	family
COURTROOM 1	c\rtroom #a
COURTROOM 1	c\rtroom #a
COURTROOM 2	c\rtroom #b
COURTROOM 2	c\rtroom #b
COURTROOM 3	c\rtroom #c
COURTROOM 3	c\rtroom #c
JURY ROOM	jury room
JURY ROOM	jury room
CLERK	cl]k
CLERK	cl]k
CLERK'S OFFICE	cl]k's (fice
INTERVIEW ROOM	9t]view room
INTERVIEW ROOM	9t]view room
JUDICIAL CONFERENCE ROOM	judicial 3f];e room
DISPOSITION ROOM	4posi;n room
DISPOSITION ROOM	4posi;n room
STAFF CONFERENCE ROOM	/aff 3f];e room
STAFF BREAK ROOM	/aff br1k room
ATTORNEY ROOM	attorney room
CONFERENCE ROOM #1	3f];e room _?#a
CONFERENCE ROOM #2	3f];e room _?#b
CONFERENCE ROOM #3	3f];e room _?#c
CONFERENCE ROOM #4	3f];e room _?#d
CONFERENCE ROOM #5	3f];e room _?#e
CONFERENCE ROOM #6	3f];e room _?#f
CONFERENCE ROOM #7	3f];e room _?#g
CONFERENCE ROOM #8	3f];e room _?#h
CONFERENCE ROOM #9	3f];e room _?#i
CONFERENCE ROOM #10	3f];e room _?#aj
SECURITY	secur;y
SECURITY	secur;y
SECURITY	secur;y
DISTRICT ATTORNEY	4trict attorney
MEDIATION ROOM	m$ia;n room
MECHANICAL ROOM	me*anical room
HOUSEKEEPING	h\sekeep+
HOUSEKEEPING	h\sekeep+
STAFF ONLY	/aff only
STAFF ONLY	/aff only
STAFF ONLY	/aff only
STAFF ONLY	/aff only
RECORDS STORAGE	records /orage
STORAGE ROOM 1	/orage room #a
STORAGE ROOM 2	/orage room #b
BUILDING MAINTENANCE	build+ ma9t5.e
MARSHALS 	m>%als
MAIL ROOM - STAFF ONLY	mail room - /aff only
CHAMBERS 	*amb]s
CHAMBERS 	*amb]s
CHAMBERS 	*amb]s
CHAMBERS 	*amb]s
DIRECTORY 	directory
DIRECTORY 	directory
103	#ajc
103A 	#ajc;,a
108	#ajh
109	#aji
114	#aad
114A 	#aad;,a
512	#eab
513	#eac
535	#ece
535A 	#ece;,a
112	#aab
UTICA COLLEGE	utica college
UTICA COLLEGE	utica college
FIFTH FLOOR DIRECTORY	fif? floor directory
FIFTH FLOOR MAP	fif? floor map
FIRE EVACUATION 	fire evacua;n
104 CLASSROOM	#ajd classroom
105 CLASSROOM	#aje classroom
107 CLASSROOM	#ajg classroom
113 CLASSROOM	#aac classroom
528 CLASSROOM	#ebh classroom
529 CLASSROOM	#ebi classroom
529 CLASSROOM	#ebi classroom
534 CLASSROOM	#ecd classroom
116 TRADING ROOM	#aaf trad+ room
115 ADMINISTRATIVE OFFICES	#aae adm9i/rative (fices
106 COMPUTER LAB	#ajf comput] lab
501 CONFERENCE ROOM	#eja 3f];e room
510 BREAKOUT ROOM	#eaj br1k\t room
530 BREAKOUT ROOM	#ecj br1k\t room
531 BREAKOUT ROOM	#eca br1k\t room
532 BREAKOUT ROOM	#ecb br1k\t room
537 BREAKOUT ROOM	#ecg br1k\t room
536 BREAKOUT ROOM	#ecf br1k\t room
R201 SIMULATION LAB	r#bja simula;n lab
FIRE EXIT PLEASE KEEP DOOR CLOSED	fire exit pl1se keep door clos$
KITCHEN AREA	kit*5 >ea
COAT ROOM	coat room
PRINTER AREA	pr9t] >ea
516	#eaf
115A 	#aae;,a
502	#ejb
503	#ejc
504	#ejd
505	#eje
506	#ejf
507	#ejg
508	#ejh
509	#eji
511	#eaa
514	#ead
515	#eae
517	#eag
518	#eah
524	#ebd
525	#ebe
526	#ebf
523	#ebc
R313 	r#cac
533	#ecc
A1 Sandra Levin Art Department	a#a s&ra lev9 >t de"p;t
A2 Fr. Jean-Luc Zadroga Theology Department	a#b ;fr4 j1n-luc zadroga !ology de"p;t
A3 Drew Schwalbe Science/Math Depts.	a#c drew s*walbe sci;e_/ma? depts4
A4 James Hicks Science Department	a#d james hicks sci;e de"p;t
A5 Peter Newman World Language Department	a#e pet] newman _w language de"p;t
A6 Heather Hawkins World Language Department	a#f h1!r hawk9s _w language de"p;t
A7 Shelly Roberts World Language Department	a#g %elly rob]ts _w language de"p;t
A8 Lee Brantley World Language Department	a#h lee brantley _w language de"p;t
B1 Kevin Knight Theology Department	b#a kev9 kni<t !ology de"p;t
B2 Br. Matthew Hershey Theology Department	b#b br4 mat!w h]%ey !ology de"p;t
B3 Cynthia Brinson English Department	b#c cyn?ia br9son 5gli% de"p;t
B4 Michael Mammay English Department	b#d mi*ael mammay 5gli% de"p;t
B5 Mary Elizabeth Zimmer English Department	b#e m>y elizabe? zimm] 5gli% de"p;t
B6 Karen Marshall English Department	b#f k>5 m>%all 5gli% de"p;t
ELECTRICAL 	electrical
IT 	it
MEN 	m5
WOMEN 	wom5
STUDY ROOM 1 	/udy room #a
STUDY ROOM 2 	/udy room #b
JANITORIAL 	janitorial
CONFERENCE ROOM 2	3f];e room #b
STORAGE 	/orage
STORAGE 	/orage
STORAGE 	/orage
STORAGE 	/orage
STORAGE 	/orage
STORAGE 	/orage
STORAGE 	/orage
LECTURE HALL PANTRY 	lecture hall pantry
CAPTAIN'S OFFICE	capta9's (fice
OFFICE 	(fice
SAFETY CAPTAIN OFFICE	safety capta9 (fice
BATTALION CHIEF TRAINING	battalion *ief tra9+
DEPUTY CHIEF OFFICE	deputy *ief (fice
DEPUTY CHIEF OFFICE	deputy *ief (fice
CHIEF'S OFFICE	*ief's (fice
COMMUNITY ROOM A	commun;y room a
COMMUNITY ROOM B	commun;y room ;b
CORRIDOR 	corridor
COMMUNITY ROOM B	commun;y room ;b
TRAINING ROOM STORAGE	tra9+ room /orage
LIVING QUARTERS	liv+ qu>t]s
APPARATUS BAYS	app>atus bays
LIVING QUARTERS	liv+ qu>t]s
JANITOR ROOM	janitor room
LAUNDRY ROOM	laundry room
EXERCISE ROOM	ex]cise room
9 BEDROOM	#i b$room
8 BEDROOM	#h b$room
7 BEDROOM	#g b$room
STORAGE 	/orage
6 BEDROOM	#f b$room
5 BEDROOM	#e b$room
